Time,BODY_LSHO,BODY_LUPA,BODY_LELB,BODY_LHAN,BODY_RSHO,BODY_RUPA,BODY_RELB,BODY_RHAN,BODY_LHIP,BODY_LTHI,BODY_LKNE,BODY_LSHI,BODY_LANK,BODY_RHIP,BODY_RTHI,BODY_RKNE,BODY_RSHI,BODY_RANK,HEAD_UD,HEAD_LR
750,690,778,570,498,307,219,425,500,508,580,508,395,500,491,420,483,608,494,1500,1500
750,691,778,570,498,307,219,425,499,510,621,695,244,497,508,383,315,746,497,1500,1500
750,903,778,569,498,435,219,425,500,509,622,696,244,497,508,383,314,746,497,1500,1500
500,902,603,570,498,554,337,456,500,509,622,712,244,497,508,384,302,745,496,1500,1500
750,414,602,567,498,396,361,456,500,507,738,757,245,498,509,146,274,610,510,1500,1500
750,44,701,570,498,396,361,456,499,507,754,839,212,499,409,147,190,657,457,1500,1500
750,111,699,736,498,564,361,125,500,507,850,938,209,499,409,146,68,773,457,1500,1500
750,109,696,732,499,559,357,128,499,507,849,937,212,499,410,147,67,773,457,1500,1500
750,276,577,1000,498,559,357,17,499,505,846,937,212,500,409,149,47,789,458,1500,1500
750,490,541,924,499,889,358,81,499,480,853,728,392,500,439,182,190,713,463,1500,1500
750,601,508,407,498,738,143,171,500,482,852,729,395,500,352,150,68,784,462,1500,1500
750,215,644,592,498,667,325,347,499,481,854,726,389,500,330,150,45,824,461,1500,1500
750,215,645,592,498,312,455,348,499,502,852,729,395,500,323,175,43,819,445,1500,1500
750,215,642,589,496,312,449,342,500,497,850,730,393,503,323,168,44,827,446,1500,1500
750,215,642,590,496,311,449,344,500,499,850,730,391,611,323,168,43,833,438,1500,1500
750,216,642,590,496,311,449,345,500,617,851,731,391,650,373,171,44,833,416,1500,1500
750,216,642,590,496,487,449,181,500,626,850,867,257,614,417,171,91,789,415,1500,1500
750,215,642,590,496,487,449,182,500,534,790,872,220,525,466,151,71,775,456,1500,1500
750,697,787,590,496,323,247,335,500,529,829,651,440,511,490,176,304,598,488,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,775,579,498,310,226,418,500,500,575,509,391,500,488,422,480,611,492,1500,1500
750,510,640,741,499,510,307,315,500,501,575,509,390,500,488,421,480,612,492,1500,1500
750,444,641,741,498,581,308,314,499,500,732,628,388,495,488,392,351,744,494,1500,1500
750,0,601,602,498,482,443,412,500,500,810,683,388,494,488,395,318,804,494,1500,1500
750,0,623,828,498,482,436,193,500,502,809,700,388,494,488,395,301,805,492,1500,1500
750,0,768,559,498,356,299,377,499,480,827,730,387,494,466,397,237,865,494,1500,1500
750,1,764,561,498,357,299,372,500,480,827,730,389,498,469,398,237,865,496,1500,1500
750,195,764,769,498,444,300,147,499,516,824,713,394,515,469,377,273,811,479,1500,1500
750,665,698,583,498,505,300,146,500,517,752,681,351,498,472,274,342,634,477,1500,1500
750,603,741,583,498,358,300,309,500,517,754,681,349,499,471,251,340,633,477,1500,1500
750,604,740,583,498,358,300,309,499,521,854,931,215,517,469,228,46,881,481,1500,1500
750,654,371,198,498,358,300,307,500,522,854,931,186,516,468,225,47,895,481,1500,1500
750,654,481,339,498,387,415,220,500,778,854,941,172,665,529,230,43,912,476,1500,1500
750,796,502,632,461,831,416,412,500,780,854,942,173,664,527,229,42,912,476,1500,1500
750,794,500,631,464,828,411,407,500,779,852,936,173,666,523,229,43,910,476,1500,1500
750,193,558,632,463,423,387,368,500,810,852,937,173,666,525,229,43,910,477,1500,1500
750,193,558,632,463,423,387,368,500,824,703,808,178,706,537,294,51,943,469,1500,1500
750,193,558,632,462,423,387,368,500,628,849,888,254,611,451,301,42,958,468,1500,1500
750,775,492,949,463,795,257,316,500,629,850,889,253,612,451,301,43,959,468,1500,1500
750,148,818,634,464,520,256,290,499,557,801,826,276,540,512,258,117,830,473,1500,1500
750,148,817,635,463,521,257,290,499,509,854,664,456,497,498,258,253,730,482,1500,1500
750,147,818,635,463,517,259,295,500,513,851,671,456,500,492,261,246,732,480,1500,1500
750,526,552,649,463,889,415,395,500,512,854,713,458,499,494,268,247,732,481,1500,1500
750,526,552,649,462,889,415,396,500,513,852,642,472,498,495,302,266,757,480,1500,1500
750,526,552,649,462,889,415,395,500,489,850,900,277,497,492,305,73,896,481,1500,1500
750,526,555,648,462,888,414,390,499,494,849,943,283,496,488,316,43,881,479,1500,1500
750,527,554,648,463,887,414,391,500,494,850,943,230,497,487,316,43,939,479,1500,1500
750,154,553,649,462,188,411,390,499,493,813,943,178,497,488,317,44,960,479,1500,1500
750,154,555,986,463,188,388,127,500,494,813,943,178,497,487,317,43,960,479,1500,1500
750,693,555,919,463,553,390,128,500,493,813,943,177,497,487,316,43,960,479,1500,1500
750,715,481,542,462,301,497,407,499,494,838,943,176,497,488,313,46,963,479,1500,1500
750,712,485,545,462,301,491,400,499,494,833,946,180,496,482,314,45,961,479,1500,1500
750,713,485,545,462,301,490,400,499,440,834,946,178,438,399,316,91,927,403,1500,1500
750,712,485,545,462,301,491,401,499,437,833,946,179,428,325,313,214,802,328,1500,1500
750,712,485,546,462,301,490,400,499,449,806,946,179,448,387,316,87,900,399,1500,1500
750,712,485,545,462,301,491,400,499,569,805,945,181,567,387,315,79,901,399,1500,1500
750,712,486,546,462,301,491,401,499,570,806,944,178,565,483,316,42,949,481,1500,1500
750,712,485,545,462,302,490,400,499,685,650,791,181,668,485,334,43,960,479,1500,1500
750,711,484,545,462,301,491,401,499,616,682,946,39,593,412,321,43,961,398,1500,1500
750,711,485,546,462,301,491,401,499,502,683,946,39,488,431,321,43,960,399,1500,1500
750,891,715,544,462,396,333,401,499,503,695,946,30,494,420,321,45,960,403,1500,1500
750,1000,780,575,462,623,306,401,499,521,671,734,247,504,487,297,271,710,479,1500,1500
750,1000,486,828,462,586,486,108,499,550,667,794,183,540,513,259,156,770,510,1500,1500
750,621,486,515,462,406,486,12,500,546,631,695,252,518,504,373,291,766,497,1500,1500
750,555,633,936,462,405,485,423,500,574,612,739,201,552,471,372,187,851,482,1500,1500
750,554,634,936,462,406,485,423,500,493,658,924,44,497,473,364,82,963,479,1500,1500
750,725,496,531,462,480,205,153,500,522,630,941,30,500,474,366,52,962,479,1500,1500
750,606,748,605,462,385,254,367,499,522,630,941,30,500,473,363,45,962,479,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
