Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
0.05,0.251,10.084,-3.615,0.061,2.622,-2.561
0.1,0.285,9.943,-3.584,-0.122,2.805,-2.439
0.15,0.271,9.826,-3.515,0.0,2.622,-2.256
0.2,0.271,9.847,-3.469,0.0,2.683,-2.622
0.25,0.292,9.898,-3.493,0.183,2.622,-2.5
0.3,0.45,9.869,-3.457,0.0,2.561,-2.378
0.35,0.184,9.845,-3.587,-0.122,2.561,-2.439
0.4,0.163,9.859,-3.61,-0.122,2.561,-2.439
0.45,0.242,9.85,-3.479,-0.061,2.561,-2.5
0.5,0.259,9.864,-3.421,0.122,2.683,-2.317
0.55,0.287,9.9,-3.577,15.488,2.561,-2.378
0.6,0.393,9.895,-3.508,-15.61,2.805,-2.439
0.65,0.232,9.835,-3.385,15.549,2.561,-2.378
0.7,0.153,9.946,-3.378,-0.122,2.439,-2.378
0.75,0.18,9.993,-3.644,0.183,2.317,-2.439
0.8,0.256,9.929,-3.551,-0.183,2.317,-2.5
0.85,0.259,9.929,-3.524,-0.366,2.317,-1.89
0.9,0.014,9.792,-3.395,0.488,1.768,-2.5
0.95,0.431,9.826,-3.601,-15.488,2.012,-2.073
1.0,0.034,10.013,-3.654,-0.244,2.073,-2.317
1.05,0.232,9.835,-3.606,-0.366,2.927,-2.5
1.1,0.113,9.85,-3.639,-0.244,2.866,-2.317
1.15,0.12,9.926,-3.376,-15.549,2.622,-2.195
1.2,0.443,10.058,-3.57,15.488,2.805,-2.5
1.25,0.599,10.262,-3.8,0.488,2.561,-2.378
1.3,0.06,10.087,-3.67,-0.854,1.28,-2.256
1.35,0.345,9.706,-3.46,0.305,3.902,-2.561
1.4,0.345,10.058,-3.668,0.61,0.427,-2.927
1.45,0.177,10.003,-3.376,0.366,1.098,-2.439
1.5,0.505,10.211,-3.692,-0.366,4.878,-2.744
1.55,0.05,9.936,-3.972,-0.671,0.793,-1.829
1.6,0.388,10.089,-3.345,-0.305,4.268,-3.902
1.65,0.311,9.929,-3.419,0.061,3.78,-2.683
1.7,0.0,9.871,-3.694,0.61,1.768,-1.28
1.75,0.33,9.878,-3.785,0.61,3.293,-3.171
1.8,0.201,9.878,-3.433,-1.28,3.049,-3.659
1.85,0.06,9.819,-3.524,-0.244,2.195,-1.646
1.9,0.086,9.922,-3.481,15.549,2.866,-2.317
1.95,0.232,10.048,-3.634,0.122,2.683,-3.11
2.0,0.134,9.962,-3.821,15.549,2.5,-2.561
2.05,0.129,9.634,-3.627,9.756,1.951,-2.622
2.1,0.225,9.392,-3.627,13.72,1.646,-1.585
2.15,0.132,9.795,-4.061,9.39,3.293,-1.22
2.2,-0.419,9.527,-3.989,7.5,1.829,0.671
2.25,0.316,9.692,-4.231,-4.695,3.232,1.524
2.3,0.747,9.886,-3.965,-6.524,1.829,1.524
2.35,0.529,10.238,-4.681,-13.659,-0.061,-1.524
2.4,0.728,9.886,-3.979,-12.927,1.28,-1.098
2.45,0.23,9.347,-3.105,-14.329,1.707,-3.537
2.5,-0.29,10.12,-3.639,-13.963,-0.671,1.463
2.55,0.297,10.051,-3.048,-11.22,2.805,1.524
2.6,0.723,9.519,-3.038,-9.878,0.305,-1.28
2.65,0.836,9.239,-2.629,-4.146,6.159,-2.195
2.7,0.498,10.422,-2.763,-5.732,-0.366,0.427
2.75,0.594,11.179,-3.089,-0.61,2.805,-5.61
