Time,BODY_LSHO,BODY_LUPA,BODY_LELB,BODY_LHAN,BODY_RSHO,BODY_RUPA,BODY_RELB,BODY_RHAN,BODY_LHIP,BODY_LTHI,BODY_LKNE,BODY_LSHI,BODY_LANK,BODY_RHIP,BODY_RTHI,BODY_RKNE,BODY_RSHI,BODY_RANK,HEAD_UD,HEAD_LR
750,691,781,573,498,307,221,428,500,513,575,508,385,504,488,423,488,613,489,1500,1500
750,690,236,274,498,308,765,759,500,590,588,508,385,565,449,383,415,654,443,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,690,236,274,498,308,765,759,500,590,588,508,385,565,449,383,415,654,443,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,690,236,274,498,308,765,759,500,590,588,508,385,565,449,383,415,654,443,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,690,236,274,498,308,765,759,500,590,588,508,385,565,449,383,415,654,443,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,690,236,274,498,308,765,759,500,590,588,508,385,565,449,383,415,654,443,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,688,780,571,498,313,218,428,499,493,568,506,383,494,499,419,479,619,506,1500,1500
750,688,780,572,498,313,218,429,499,478,578,835,96,495,498,422,119,936,506,1500,1500
750,687,780,572,498,314,219,429,499,479,672,924,67,494,498,340,47,959,509,1500,1500
750,513,829,572,498,494,155,429,499,481,755,930,65,494,496,256,48,960,509,1500,1500
750,512,830,572,498,497,154,429,499,480,847,925,65,494,497,159,51,959,509,1500,1500
750,491,829,572,497,497,154,426,499,482,847,926,38,493,498,160,59,960,508,1500,1500
750,490,829,573,498,498,154,427,499,480,738,735,42,494,498,186,222,903,506,1500,1500
750,443,828,572,498,498,155,427,499,480,738,735,41,494,498,186,221,903,506,1500,1500
750,444,828,573,497,494,156,429,499,480,561,489,121,495,498,186,221,903,506,1500,1500
750,440,828,571,498,498,154,426,499,481,557,491,121,494,498,364,391,902,506,1500,1500
750,444,829,572,497,569,156,429,499,481,557,490,121,494,498,365,391,903,506,1500,1500
750,441,828,572,497,569,153,425,499,502,556,491,121,494,497,364,389,913,506,1500,1500
750,443,826,571,498,562,156,426,499,500,558,494,118,494,498,364,389,911,506,1500,1500
750,444,780,571,498,562,209,428,499,501,560,492,117,494,498,364,391,912,506,1500,1500
750,444,687,730,498,563,350,258,499,501,560,490,115,496,498,363,387,937,508,1500,1500
750,443,536,812,498,572,422,181,499,487,559,491,62,494,480,388,439,955,506,1500,1500
750,376,344,980,498,591,542,34,499,486,568,490,29,494,482,387,489,956,481,1500,1500
750,377,464,867,498,591,428,184,499,486,594,453,99,469,485,404,560,887,481,1500,1500
750,402,647,763,498,592,366,184,499,486,584,452,101,471,486,414,546,886,483,1500,1500
750,456,808,610,497,569,218,368,499,486,583,453,101,471,483,414,546,886,482,1500,1500
750,459,811,611,498,569,220,368,499,486,584,448,173,478,470,412,537,830,483,1500,1500
750,458,804,609,498,572,227,363,499,486,585,449,167,476,474,411,538,835,485,1500,1500
750,443,826,571,498,562,156,426,499,500,558,494,118,494,498,364,389,911,506,1500,1500
750,444,780,571,498,562,209,428,499,501,560,492,117,494,498,364,391,912,506,1500,1500
750,444,687,730,498,563,350,258,499,501,560,490,115,496,498,363,387,937,508,1500,1500
