Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
0.05,0.268,10.089,-1.501,0.061,2.561,-2.378
0.1,0.306,10.082,-1.52,-15.61,2.622,-2.317
0.15,0.242,10.027,-1.504,-0.061,2.5,-2.073
0.2,0.182,10.027,-1.676,0.122,2.5,-2.134
0.25,0.232,10.048,-1.451,-0.122,2.683,-2.256
0.3,0.242,10.075,-1.448,0.122,2.439,-2.195
0.35,0.227,10.07,-1.484,-15.549,2.683,-2.378
0.4,0.271,10.108,-1.389,-0.244,2.561,-2.317
0.45,0.244,10.108,-1.602,15.549,2.439,-2.195
0.5,0.208,10.106,-1.592,-0.183,2.805,-2.256
0.55,0.273,9.96,-1.535,0.183,2.927,-2.317
0.6,-0.038,10.228,-1.437,-0.244,2.561,-2.378
0.65,0.783,10.451,-1.544,-1.037,2.622,-2.317
0.7,0.11,10.262,-1.417,15.244,2.622,-1.951
0.75,0.184,10.513,-1.669,-15.122,2.622,-2.317
0.8,0.175,10.245,-1.662,0.244,2.195,-2.744
0.85,0.397,9.878,-1.293,0.366,2.866,-2.256
0.9,-0.077,9.917,-1.664,2.927,2.439,-1.707
0.95,0.285,10.355,-1.693,6.89,2.195,-2.744
1,0.51,9.91,-1.542,4.756,2.073,-2.256
1.05,0.153,9.73,-0.939,9.878,2.622,-1.951
1.1,0.187,9.876,-1.784,0.061,3.902,-1.646
1.15,-0.113,10.127,-1.535,18.232,-0.732,-3.049
1.2,0.029,10.46,-2.21,19.573,0.793,-0.915
1.25,-0.055,10.302,-2.375,15.976,1.829,-0.915
1.3,0.239,9.871,-2.722,13.598,2.866,-1.89
1.35,0.599,9.761,-2.528,14.085,2.866,-2.195
1.4,1.053,10.618,-3.426,10.915,2.256,-5.915
1.45,-0.393,10.156,-3.122,-15.549,3.659,-1.22
1.5,0.366,10.309,-2.871,-7.988,2.622,-1.89
1.55,0.611,10.12,-2.296,-8.293,4.573,1.585
1.6,0.869,10.113,-2.021,-2.744,1.768,-2.622
1.65,0.35,9.369,-2.456,4.085,5.244,-1.098
1.7,-0.508,9.981,-2.38,6.768,5.305,-0.427
1.75,0.639,10.345,-2.279,12.805,4.268,-4.085
1.8,0.936,10.082,-2.911,19.207,9.573,-4.451
1.85,-0.56,10.444,-2.205,18.293,10.549,-3.841
1.9,1.168,9.725,-3.804,6.402,20.549,-5.122
1.95,1.003,9.608,-3.742,1.768,16.646,-2.5
2,0.742,9.05,-3.014,-0.793,20.366,-6.646
