Time,BODY_LSHO,BODY_LUPA,BODY_LELB,BODY_LHAN,BODY_RSHO,BODY_RUPA,BODY_RELB,BODY_RHAN,BODY_LHIP,BODY_LTHI,BODY_LKNE,BODY_LSHI,BODY_LANK,BODY_RHIP,BODY_RTHI,BODY_RKNE,BODY_RSHI,BODY_RANK,HEAD_UD,HEAD_LR
750,685,774,572,498,314,222,426,499,498,575,508,386,497,498,420,487,610,503,1500,1500
750,686,773,573,498,322,221,425,499,496,655,928,109,499,499,322,44,870,527,1500,1500
750,502,830,573,498,519,222,424,499,497,845,926,45,499,498,150,47,958,521,1500,1500
750,447,831,522,498,516,224,425,499,498,847,926,34,497,499,150,47,958,521,1500,1500
750,446,830,522,498,516,224,426,499,498,846,925,30,497,497,314,47,942,522,1500,1500
750,444,829,521,498,518,224,426,499,496,577,933,108,458,498,414,46,941,522,1500,1500
750,429,829,522,498,518,225,428,500,500,574,572,677,434,498,413,46,942,523,1500,1500
750,432,829,521,498,519,225,428,499,499,577,572,677,434,499,414,429,325,523,1500,1500
750,566,831,521,498,520,222,425,499,496,581,588,677,435,498,403,393,325,523,1500,1500
750,617,830,522,498,521,223,426,499,496,572,591,677,434,497,148,152,324,523,1500,1500
750,610,829,521,498,521,223,424,499,471,851,857,715,434,495,151,112,323,523,1500,1500
750,612,831,521,498,516,222,426,499,473,733,877,659,436,495,236,84,347,522,1500,1500
750,611,829,521,498,518,222,427,499,475,738,875,660,543,481,227,83,344,522,1500,1500
750,611,829,522,498,518,222,426,499,540,738,876,661,499,439,227,81,346,522,1500,1500
750,611,802,520,498,517,222,427,499,707,850,879,662,501,454,179,57,348,523,1500,1500
750,558,780,522,498,521,223,425,499,740,849,750,662,500,454,148,54,350,523,1500,1500
750,504,780,521,498,521,222,425,499,777,830,617,661,501,451,156,54,350,523,1500,1500
750,508,782,521,498,518,222,425,499,826,602,547,348,380,452,150,43,360,523,1500,1500
750,507,782,521,498,518,222,424,499,825,602,546,348,381,476,256,44,399,523,1500,1500
750,505,782,521,498,517,222,425,499,826,603,545,348,380,377,256,45,399,523,1500,1500
750,505,782,521,498,518,222,425,499,827,602,546,348,540,377,256,46,401,523,1500,1500
750,504,782,521,498,518,222,425,499,827,602,545,347,539,273,258,53,483,523,1500,1500
750,493,782,521,498,522,221,425,499,845,600,546,347,539,182,260,156,485,522,1500,1500
750,476,780,522,498,521,222,424,499,864,602,546,347,539,179,260,155,485,523,1500,1500
750,434,807,521,498,540,224,425,499,891,659,547,349,539,159,257,210,486,523,1500,1500
750,438,807,522,498,538,222,424,499,687,659,579,349,564,160,258,237,615,479,1500,1500
750,478,807,521,498,537,222,424,499,704,657,581,350,564,319,146,46,787,369,1500,1500
750,478,807,521,498,537,222,425,499,704,655,581,351,564,320,163,47,807,358,1500,1500
750,478,807,521,498,537,223,425,499,649,741,684,348,658,395,151,41,807,419,1500,1500
750,478,807,522,498,537,222,424,499,616,848,800,348,617,460,151,43,802,419,1500,1500
750,478,807,521,498,537,222,425,499,617,846,800,351,615,455,250,151,768,427,1500,1500
750,478,807,521,498,537,222,425,499,534,847,800,351,575,457,235,270,654,445,1500,1500
750,478,807,521,498,537,222,424,499,534,848,800,348,508,505,169,220,654,499,1500,1500
750,733,806,522,498,222,223,426,499,513,737,718,347,506,505,291,292,679,500,1500,1500
750,691,779,571,498,305,222,425,499,505,577,512,390,502,502,421,490,600,498,1500,1500
750,689,774,573,497,307,222,426,499,504,575,501,386,503,494,428,499,611,496,1500,1500
750,689,764,572,498,308,222,427,499,513,854,801,329,506,480,208,173,746,494,1500,1500
750,988,764,572,498,22,222,426,499,512,658,940,222,488,529,244,45,704,497,1500,1500
750,988,754,571,498,0,222,425,499,513,658,938,223,488,529,148,59,703,497,1500,1500
750,987,754,571,498,0,225,427,499,512,656,940,223,488,529,151,220,705,495,1500,1500
750,986,755,571,498,0,223,427,499,510,658,940,223,488,530,151,318,705,496,1500,1500
750,986,754,570,498,0,223,427,499,512,656,940,223,488,529,382,600,707,495,1500,1500
