Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
0.05,0.23,9.989,-2.626,0.061,2.622,-2.378
0.1,0.242,10.044,-2.72,-0.061,2.5,-2.5
0.15,0.247,10.001,-2.456,15.488,2.5,-2.561
0.2,0.433,10.072,-2.665,0.122,2.5,-2.256
0.25,0.259,10.013,-2.653,0,2.5,-2.317
0.3,0.189,10.003,-2.521,0,2.561,-2.439
0.35,0.304,10.025,-2.641,-0.061,2.744,-2.561
0.4,0.213,10.029,-2.646,0.183,2.5,-2.5
0.45,0.268,9.991,-2.662,0.061,2.622,-2.439
0.5,0.156,10.029,-2.471,0,2.561,-2.378
0.55,0.285,10.039,-2.646,-0.122,2.927,-2.439
0.6,0.292,10.036,-2.502,15.549,2.744,-2.5
0.65,0.273,9.979,-2.727,0,2.622,-2.378
0.7,0.218,9.905,-2.751,0,2.378,-2.622
0.75,0.249,10.046,-2.547,-15.488,2.5,-2.195
0.8,0.227,10.056,-2.796,0,2.622,-2.439
0.85,-0.35,10.149,-2.732,-0.793,1.951,-1.951
0.9,0.45,10.36,-2.693,-0.244,3.476,-2.805
0.95,0.366,10.01,-2.746,0.183,3.049,-2.195
1,0.067,9.962,-2.619,-0.244,2.012,-2.5
1.05,0.172,10.673,-2.365,1.707,2.988,-2.256
1.1,0.359,10.072,-2.545,4.024,3.293,-2.256
1.15,0.072,10.053,-2.902,2.439,1.646,-2.744
1.2,0.283,10.372,-3.033,-2.317,2.439,-2.073
1.25,0.127,10.453,-2.851,-3.476,2.073,-1.28
1.3,0.306,9.852,-2.313,0.976,4.024,-3.11
1.35,0.146,10.171,-2.468,4.268,2.012,-1.951
1.4,0.33,10.015,-2.468,4.634,4.329,-2.378
1.45,0.335,10.262,-2.756,2.134,4.39,-2.805
1.5,0,9.989,-2.77,-0.732,2.5,-2.012
1.55,0.438,9.931,-2.617,-0.244,2.378,-1.585
1.6,0.673,9.697,-2.974,0.732,4.878,-3.232
1.65,-0.373,10.044,-2.88,15.244,1.159,-3.963
1.7,0.615,10.221,-2.708,-1.463,3.963,-1.463
1.75,0.184,10.032,-2.708,0.427,1.22,-2.439
1.8,0.417,9.823,-2.459,0.61,2.256,-3.049
1.85,0.373,10.218,-3.053,0.976,2.561,-2.195
1.9,0.441,10.092,-2.727,0.122,2.683,-2.012
1.95,0.52,10.18,-2.993,-1.037,2.805,-3.476
2,0.249,9.979,-2.777,-0.366,1.524,-2.256
2.05,-0.883,9.902,-2.26,10.915,0.854,18.049
2.1,-0.891,10.092,-2.188,21.89,0.183,21.89
2.15,0.438,8.116,-2.246,35.793,9.268,25.488
2.2,0.876,7.867,-2.473,65.732,2.683,18.415
2.25,2.004,8.045,-3.91,66.585,-2.683,13.963
2.3,2.851,9.369,-4.767,65.732,-0.305,2.195
2.35,2.09,10.025,-5.681,64.085,2.073,-5.61
2.4,1.571,9.464,-6.294,62.195,-0.183,-7.866
2.45,1.528,9.579,-6.687,25.061,4.817,-30.549
2.5,0.895,8.351,-5.962,20.427,2.927,-15.427
2.55,0.924,7.302,-5.962,18.537,0.793,-9.817
2.6,0.611,8.909,-6.522,21.951,-5.427,-5.305
2.65,1.585,8.289,-6.218,21.707,4.207,-8.354
2.7,-0.247,8.605,-6.354,24.695,1.159,-6.768
2.75,1.927,8.655,-7.503,31.098,15.488,-3.902
2.8,1.152,8.715,-9.105,30.427,-14.756,-24.085
2.85,1.621,8.487,-8.44,-28.171,-43.354,-35.061
2.9,-0.194,7.927,-8.033,-68.537,-17.683,-34.634
2.95,-2.279,7.077,-4.487,-45.122,-1.402,-11.037
3,-2.131,8.274,-3.771,-14.207,11.585,6.524
3.05,-0.97,9.258,-5.612,12.012,13.537,15.244
3.1,0.517,9.139,-7.314,9.939,10.915,14.207
3.15,1.566,9.227,-6.754,-0.061,2.134,-9.39
3.2,-0.031,10.118,-7.784,-43.293,-5.976,-17.561
3.25,-0.752,9.261,-6.771,-68.902,-3.415,-16.768
3.3,-0.294,9.321,-7.027,-95.366,-6.585,-4.817
3.35,-1.097,8.717,-4.53,-131.89,-0.61,15.061
3.4,-1.097,8.717,-4.53,-131.89,-0.61,15.061
3.45,0.761,8.66,-1.137,-138.659,2.5,0.061
3.5,0.242,9.342,0.443,-105.915,1.22,-12.561
3.55,0.287,9.086,0.433,-95.244,3.232,-8.841
3.6,-1.053,9.043,0.51,-88.354,5.732,-1.768
3.65,-0.247,8.868,0.828,-98.963,0.671,-0.915
3.7,0.01,10.161,1.405,-106.159,3.659,-3.415
3.75,-0.139,10.386,2.176,-116.402,-0.915,-6.646
3.8,-0.639,8.693,2.974,-130.183,-0.793,-3.415
3.85,-0.421,8.799,3.041,-139.756,9.451,6.463
3.9,-3.486,4.764,3.45,-131.341,-2.073,9.695
3.95,-4.81,4.812,8.317,16.402,3.049,8.841
4,-1.257,6.44,7.93,34.573,2.195,7.5
4.05,1.19,7.135,6.828,-15.183,13.171,2.866
4.1,0.354,5.93,7.489,4.756,6.585,-1.341
4.15,-0.139,6.962,5.856,17.012,1.402,-2.256
4.2,0.843,7.511,5.614,12.439,15.549,-15.122
4.25,-0.287,7.57,4.334,-3.841,3.049,1.22
4.3,1.209,6.917,5.416,-8.171,5.366,3.232
4.35,-0.426,7.12,7.242,-4.329,0.061,-2.805
4.4,0.476,6.546,5.689,-1.829,2.073,0.671
4.45,0.251,7.077,6.266,0.854,1.037,-1.463
4.5,0.134,7.456,6.167,-3.354,0.793,15.427
4.55,0.103,7.094,6.519,-10.183,1.524,2.561
4.6,0.876,6.579,5.543,-7.195,3.354,3.232
4.65,-0.687,6.483,6.261,-6.585,1.22,-2.012
4.7,-0.031,7.451,6.373,-9.756,1.585,1.402
4.75,1.104,6.668,5.933,-6.098,3.476,-1.463
4.8,0.62,6.625,6.646,-2.805,0.732,-2.317
4.85,0.199,6.646,5.89,-0.976,3.598,-1.098
4.9,0.014,6.63,6.218,1.341,2.683,-2.927
4.95,0.227,6.591,6.395,-0.488,2.866,-2.256
5,0.074,6.845,6.088,-15.61,2.683,-2.5
5.05,-0.043,6.68,6.275,0.244,2.439,-2.5
5.1,0.108,6.852,6.057,0.305,2.683,-2.134
5.15,0.251,6.737,6.225,0.061,2.256,-2.317
5.2,0.122,6.601,6.055,-0.549,2.439,-2.5
5.25,0.067,7.482,5.562,-4.756,0.244,-4.634
5.3,-0.613,6.96,5.382,-14.512,-0.427,-2.866
5.35,-0.05,6.622,5.543,-9.634,6.037,1.463
5.4,-0.067,6.998,6.151,-3.232,11.646,7.622
5.45,-0.752,7.266,6.132,-7.439,9.268,10.427
5.5,-0.663,6.871,6.943,-8.537,10.793,6.829
5.55,-1.001,6.522,6.546,-1.768,11.341,7.256
